param BlockCost :=
  L1 L1 40
  L1 L2 20
  L1 L3 30
  L1 L4 10
  L1 R1 10
  L1 R2 10
  L1 R3 10
  L1 R4 10
  L2 L1 20
  L2 L2 40
  L2 L3 20
  L2 L4 10
  L2 R1 10
  L2 R2 10
  L2 R3 10
  L2 R4 10
  L3 L1 30
  L3 L2 20
  L3 L3 40
  L3 L4 10
  L3 R1 10
  L3 R2 10
  L3 R3 10
  L3 R4 10
  L4 L1 10
  L4 L2 10
  L4 L3 10
  L4 L4 40
  L4 R1 20
  L4 R2 30
  L4 R3 30
  L4 R4 30
  R1 L1 10
  R1 L2 10
  R1 L3 10
  R1 L4 20
  R1 R1 40
  R1 R2 20
  R1 R3 30
  R1 R4 30
  R2 L1 10
  R2 L2 10
  R2 L3 10
  R2 L4 30
  R2 R1 20
  R2 R2 40
  R2 R3 20
  R2 R4 30
  R3 L1 10
  R3 L2 10
  R3 L3 10
  R3 L4 30
  R3 R1 30
  R3 R2 20
  R3 R3 40
  R3 R4 20
  R4 L1 10
  R4 L2 10
  R4 L3 10
  R4 L4 30
  R4 R1 30
  R4 R2 30
  R4 R3 20
  R4 R4 40;
