set KEY :=
    a b c d e f g h i j k l m n o p q r s t u v w x y z ;
set POSITION :=
    A B C D E F G H I J K L M N O P Q R S T U V W X Y Z ;
param charset :=
a a 85
a b 49
a c 57
a d 50
a e 84
a f 59
a g 36
a h 48
a i 70
a j 106
a k 66
a l 95
a m 83
a n 71
a o 72
a p 57
a q 29
a r 51
a s 107
a t 82
a u 38
a v 35
a w 91
a x 47
a y 30
a z 86
b a 50
b b 100
b c 30
b d 15
b e 44
b f 32
b g 99
b h 32
b i 25
b j 85
b k 47
b l 76
b m 51
b n 31
b o 38
b p 64
b q 85
b r 64
b s 81
b t 37
b u 66
b v 36
b w 48
b x 95
b y 47
b z 41
c a 17
c b 60
c c 33
c d 66
c e 43
c f 41
c g 91
c h 12
c i 37
c j 97
c k 87
c l 79
c m 106
c n 94
c o 55
c p 100
c q 31
c r 46
c s 34
c t 91
c u 45
c v 62
c w 38
c x 70
c y 47
c z 76
d a 15
d b 83
d c 68
d d 51
d e 29
d f 61
d g 18
d h 56
d i 28
d j 37
d k 95
d l 15
d m 76
d n 103
d o 83
d p 43
d q 107
d r 53
d s 14
d t 38
d u 50
d v 29
d w 22
d x 92
d y 24
d z 66
e a 31
e b 63
e c 60
e d 105
e e 50
e f 70
e g 63
e h 18
e i 88
e j 103
e k 34
e l 38
e m 106
e n 85
e o 31
e p 27
e q 32
e r 26
e s 86
e t 45
e u 55
e v 104
e w 42
e x 33
e y 68
e z 33
f a 107
f b 41
f c 41
f d 102
f e 27
f f 104
f g 74
f h 82
f i 76
f j 43
f k 101
f l 45
f m 77
f n 30
f o 15
f p 28
f q 98
f r 102
f s 40
f t 34
f u 106
f v 28
f w 109
f x 102
f y 73
f z 39
g a 54
g b 87
g c 87
g d 47
g e 108
g f 11
g g 49
g h 78
g i 63
g j 33
g k 59
g l 82
g m 34
g n 18
g o 77
g p 81
g q 92
g r 75
g s 41
g t 75
g u 29
g v 64
g w 44
g x 83
g y 102
g z 38
h a 25
h b 107
h c 46
h d 86
h e 15
h f 65
h g 11
h h 100
h i 24
h j 107
h k 10
h l 85
h m 59
h n 73
h o 19
h p 108
h q 63
h r 91
h s 13
h t 58
h u 45
h v 92
h w 14
h x 37
h y 106
h z 18
i a 11
i b 38
i c 17
i d 47
i e 21
i f 67
i g 17
i h 22
i i 22
i j 67
i k 39
i l 102
i m 42
i n 77
i o 41
i p 46
i q 70
i r 79
i s 71
i t 103
i u 105
i v 105
i w 79
i x 40
i y 43
i z 18
j a 102
j b 29
j c 34
j d 74
j e 22
j f 25
j g 90
j h 60
j i 99
j j 50
j k 45
j l 71
j m 87
j n 50
j o 43
j p 77
j q 17
j r 39
j s 92
j t 81
j u 42
j v 58
j w 90
j x 45
j y 46
j z 105
k a 15
k b 102
k c 51
k d 56
k e 26
k f 88
k g 10
k h 93
k i 36
k j 89
k k 35
k l 86
k m 44
k n 31
k o 24
k p 107
k q 74
k r 30
k s 48
k t 80
k u 61
k v 87
k w 54
k x 97
k y 70
k z 12
l a 92
l b 22
l c 108
l d 29
l e 94
l f 11
l g 48
l h 12
l i 19
l j 103
l k 101
l l 46
l m 27
l n 73
l o 40
l p 91
l q 89
l r 65
l s 90
l t 81
l u 36
l v 24
l w 59
l x 28
l y 20
l z 20
m a 83
m b 57
m c 45
m d 66
m e 14
m f 79
m g 15
m h 19
m i 73
m j 102
m k 16
m l 54
m m 92
m n 38
m o 36
m p 64
m q 33
m r 63
m s 71
m t 99
m u 104
m v 108
m w 92
m x 16
m y 20
m z 77
n a 36
n b 27
n c 31
n d 20
n e 34
n f 96
n g 99
n h 76
n i 66
n j 104
n k 13
n l 37
n m 82
n n 103
n o 60
n p 22
n q 53
n r 64
n s 107
n t 31
n u 59
n v 103
n w 89
n x 10
n y 26
n z 43
o a 64
o b 53
o c 85
o d 84
o e 22
o f 109
o g 98
o h 39
o i 109
o j 97
o k 36
o l 44
o m 84
o n 57
o o 52
o p 92
o q 31
o r 49
o s 60
o t 65
o u 92
o v 51
o w 56
o x 56
o y 42
o z 21
p a 21
p b 40
p c 37
p d 55
p e 88
p f 86
p g 27
p h 106
p i 109
p j 47
p k 38
p l 88
p m 108
p n 51
p o 31
p p 80
p q 108
p r 36
p s 38
p t 25
p u 60
p v 57
p w 86
p x 46
p y 73
p z 81
q a 92
q b 45
q c 13
q d 56
q e 12
q f 98
q g 79
q h 63
q i 54
q j 75
q k 89
q l 46
q m 36
q n 89
q o 109
q p 82
q q 41
q r 90
q s 52
q t 72
q u 66
q v 21
q w 67
q x 50
q y 51
q z 47
r a 82
r b 46
r c 42
r d 64
r e 68
r f 26
r g 16
r h 89
r i 103
r j 84
r k 55
r l 56
r m 53
r n 20
r o 65
r p 107
r q 73
r r 71
r s 85
r t 71
r u 20
r v 53
r w 11
r x 90
r y 21
r z 46
s a 68
s b 94
s c 99
s d 28
s e 24
s f 45
s g 22
s h 76
s i 32
s j 26
s k 33
s l 48
s m 102
s n 70
s o 49
s p 36
s q 108
s r 66
s s 95
s t 109
s u 16
s v 105
s w 21
s x 107
s y 40
s z 17
t a 11
t b 80
t c 74
t d 47
t e 86
t f 90
t g 23
t h 97
t i 29
t j 102
t k 77
t l 22
t m 52
t n 50
t o 74
t p 92
t q 38
t r 105
t s 93
t t 37
t u 43
t v 12
t w 108
t x 59
t y 68
t z 108
u a 10
u b 37
u c 102
u d 60
u e 13
u f 37
u g 50
u h 96
u i 95
u j 48
u k 88
u l 56
u m 66
u n 87
u o 18
u p 33
u q 42
u r 26
u s 52
u t 77
u u 40
u v 38
u w 32
u x 77
u y 83
u z 66
v a 25
v b 24
v c 22
v d 81
v e 16
v f 23
v g 13
v h 62
v i 97
v j 107
v k 41
v l 66
v m 90
v n 36
v o 54
v p 36
v q 96
v r 51
v s 99
v t 35
v u 69
v v 10
v w 59
v x 87
v y 78
v z 106
w a 45
w b 106
w c 106
w d 42
w e 78
w f 50
w g 63
w h 103
w i 92
w j 95
w k 25
w l 102
w m 61
w n 40
w o 31
w p 19
w q 13
w r 76
w s 29
w t 91
w u 32
w v 36
w w 58
w x 54
w y 72
w z 102
x a 77
x b 64
x c 73
x d 64
x e 62
x f 100
x g 52
x h 53
x i 27
x j 93
x k 85
x l 97
x m 28
